,ISBN,Book-Title,Rating-Count,Average-Rating
442,0553280368,C Is for Corpse (Kinsey Millhone Mysteries (Paperback)),54,8.296296296296296
443,0553280414,A Separate Peace,54,7.333333333333333
444,1573227331,About a Boy,54,7.592592592592593
445,0440223202,Evening Class,54,8.38888888888889
446,038529929X,Hannibal,54,7.0
447,080213825X,Four Blondes,54,5.444444444444445
448,0451163966,One Flew Over the Cuckoo's Nest,54,8.5
449,0385721420,Three Junes,54,7.333333333333333
450,006099486X,"The Professor and the Madman: A Tale of Murder, Insanity, and the Making of The Oxford English Dictionary",54,7.703703703703703
451,0385493800,The Testament,54,7.314814814814815
452,0425192725,Q Is for Quarry,54,7.722222222222222
453,0743206045,Daddy's Little Girl,53,7.886792452830188
454,043936213X,Harry Potter and the Sorcerer's Stone (Book 1),53,9.20754716981132
455,0156628708,Mrs Dalloway,53,7.056603773584905
456,0316602906,The Big Bad Wolf: A Novel,53,7.849056603773585
457,0670880728,Bridget Jones's Diary,53,7.622641509433962
458,055321313X,Anne of Green Gables (Anne of Green Gables Novels (Paperback)),53,8.90566037735849
459,0553582135,Final Target,53,7.226415094339623
460,0452260116,Song of Solomon (Oprah's Book Club (Paperback)),53,7.339622641509434
461,0060922532,Pigs in Heaven,53,7.716981132075472
462,0684833395,Catch 22,53,8.226415094339623
463,0060096195,The Boy Next Door,53,8.132075471698114
464,038082101X,Daughter of Fortune: A Novel,53,7.39622641509434
465,0316693235,Violets Are Blue,53,7.433962264150943
466,0552998486,Chocolat,53,8.037735849056604
467,0441304834,Guilty Pleasures (Anita Blake Vampire Hunter (Paperback)),52,7.461538461538462
468,0684865742,Tis: A Memoir,52,7.538461538461538
469,0553208845,Siddhartha,52,8.5
470,0060932759,Daughter of Fortune,52,7.480769230769231
471,0425172546,Southern Cross,52,6.8076923076923075
472,0316182540,White Oleander : A Novel,52,8.076923076923077
473,0553579606,Ashes to Ashes,52,7.096153846153846
474,1573225517,High Fidelity,52,8.346153846153847
475,0451203895,4 Blondes,52,5.653846153846154
476,0312265859,Hard Eight : A Stephanie Plum Novel (A Stephanie Plum Novel),52,8.384615384615385
477,0553582127,The Search,52,7.5576923076923075
478,0312980159,Fast Women,52,7.75
479,0671708635,Seven Habits Of Highly Effective People,52,7.0
480,0449219461,H Is for Homicide (Kinsey Millhone Mysteries (Paperback)),52,7.75
481,0345444884,The Talisman,52,8.211538461538462
482,014100018X,Chocolat,52,7.846153846153846
483,0446670111,Einstein's Dreams,52,7.788461538461538
484,0375727132,The Dive From Clausen's Pier : A Novel (Vintage Contemporaries (Paperback)),52,7.576923076923077
485,0515133973,Midnight Bayou,52,7.846153846153846
486,0553284789,F Is for Fugitive (Kinsey Millhone Mysteries (Paperback)),52,7.903846153846154
487,0060916508,Their Eyes Were Watching God: A Novel,52,8.403846153846153
488,0671867113,Moonlight Becomes You,51,7.745098039215686
489,0689817851,Go Ask Alice,51,8.137254901960784
490,037570504X,"Breath, Eyes, Memory",51,7.137254901960785
491,0894805770,What to Expect the First Year,51,8.313725490196079
492,1400032717,The Curious Incident of the Dog in the Night-Time (Vintage Contemporaries),51,8.588235294117647
493,0743411250,The Woman Next Door,51,7.2745098039215685
494,0140177396,Of Mice and Men (Penguin Great Books of the 20th Century),51,8.294117647058824
495,0451202341,Back Roads,51,7.2745098039215685
496,0671028375,Fatal Voyage,51,7.96078431372549
497,0385335830,Diary of a Mad Bride (Summer Display Opportunity),51,7.686274509803922
498,0449006522,Manhattan Hunt Club,51,7.627450980392157
499,0743457358,Everything's Eventual : 14 Dark Tales,51,7.588235294117647
500,031298328X,Full Tilt (Janet Evanovich's Full Series),51,6.568627450980392
501,0446610100,Wish You Well,51,8.019607843137255
502,038533334X,Charming Billy,51,6.803921568627451
503,1558744630,Chicken Soup for the Teenage Soul (Chicken Soup for the Soul),51,7.509803921568627
504,0156528207,The Little Prince,51,8.980392156862745
505,0743467523,Dreamcatcher,51,7.254901960784314
506,0515136530,"Key of Valor (Roberts, Nora. Key Trilogy, 3.)",51,8.509803921568627
507,0679723161,Lolita (Vintage International),50,8.36
508,0375760911,The Idiot Girls' Action Adventure Club,50,7.42
509,0515136379,Key of Knowledge (Key Trilogy (Paperback)),50,7.94
510,0446516538,Slow Waltz in Cedar Bend,50,6.42
511,051513628X,Key of Light (Key Trilogy (Paperback)),50,8.1
512,0449912558,The Sparrow,50,8.24
513,0452282195,The Bluest Eye,50,7.36
514,0385503954,Atonement: A Novel,50,7.94
515,0380727501,Notes from a Small Island,50,8.02
516,0743224574,A Beautiful Mind: The Life of Mathematical Genius and Nobel Laureate John Nash,50,7.56
517,0671894455,FORREST GUMP (Movie Tie in),50,7.42
518,076790592X,"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",50,8.48
519,0670865796,The Deep End of the Ocean (Oprah's Book Club (Hardcover)),50,7.34
520,0446611808,Envy,50,7.82
521,0446675059,The Honk and Holler Opening Soon,50,8.04
522,0345384369,Intensity,50,8.22
523,0553582526,Dust to Dust,50,7.32
524,0345441036,Black House,50,7.88
525,0805062971,Fight Club,50,8.5
526,1844262553,Free,50,8.6
527,0684853515,Hearts In Atlantis : New Fiction,50,7.74
528,0385424736,The Rainmaker,50,7.72
529,044022103X,One True Thing,50,7.62
530,0316788228,The Pilot's Wife,50,7.92
